code_ecole,nom_ecole,nature,autorite,niveau,genre,region,gouvernorat,liwa,qada,adresse,type_zone,periode,directorate,code_directorate
110301,منشية حسبان الاساسية للبنين,publique,وزارة التربية و التعليم,المرحلة الأساسية,ذكور ,الوسط  ,العاصمة عمان,لواء ناعور,قضاء حسبان,منشية حسبان - الحي:ام الشوامر - الشارع:مادبا الغربي - سلاح الجو,مدينة,فترة واحدة,ناعور,1109
110302,المشقر الثانوية الشاملة للبنات,publique,وزارة التربية و التعليم,المرحلة الثانوية,اناث,الوسط  ,العاصمة عمان,لواء ناعور,قضاء حسبان,المشقر - الحي:المدارس - الشارع:البلدية,قرية,فترة واحدة,ناعور,1109
110303,حسبان الثانويه الشاملة للبنات,publique,وزارة التربية و التعليم,المرحلة الثانوية,اناث,الوسط  ,العاصمة عمان,لواء ناعور,قضاء حسبان,حسبان - الحي:حسبان - الشارع:الرئيسي,قرية,فترة واحدة,ناعور,1109
110304,منشية حسبان الثانوية الشاملة المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء ناعور,قضاء حسبان,منشية حسبان - الحي:منشية حسبان - الشارع:طريق مادبا الغربي,قرية,فترة واحدة,ناعور,1109
110305,حسبان الاساسيه المختلطه,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء ناعور,قضاء حسبان,حسبان - الحي:حي المدارس - الشارع:,قرية,فترة واحدة,ناعور,1109
110306,ام فروه الاساسيه المختلطه,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء وادي السير, وادي السير,البصة - الحي:ام فروة - الشارع:ام فروة,قرية,فترة واحدة,لواء وادي السير ,1108
110307,الذهيبة الغربية الثانوية الشاملة للبنات,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء الموقر,قضاء رجم الشامي,الذهبية الغربية - الحي:الذهيبة الغربية - الشارع:,قرية,فترة واحدة,الموقر,1107
110309,مغاير مهنا الثانوية الشاملة المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء الموقر, الموقر,مغاير المهنا - الحي:الشمالي - الشارع:الرئيسي,قرية,فترة واحدة,الموقر,1107
110310,المنشية الثانوية المختلطه,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء الموقر, الموقر,الموقر,قرية,فترة واحدة,الموقر,1107
110311,جلول الثانوية المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء الجيزة, الجيزة,جلول - الحي:جلول - الشارع:الرئيسي,قرية,فترة واحدة,الجيزة,1106
110312,منجا الثانوية الشاملة المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء الجيزة, الجيزة,منجا - الحي:منجا - الشارع:شارع مادبا,قرية,فترة واحدة,الجيزة,1106
110313,الزميلات الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء الموقر, الموقر,الزميلات - الحي:الزميلات - الشارع:الزميلات,قرية,فترة واحدة,الموقر,1107
110314,الطالبية الثانوية الشاملة  المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء الجيزة, الجيزة,الطالبية - الحي:مخيم الطالبية - الشارع:الرئيسي,مدينة,فترة صباحية,الجيزة,1106
110315,إجميل الثانوية الشاملة المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء الجيزة,قضاء ام الرصاص,جميل - الحي:الجنوبي - الشارع:الرئيسي,قرية,فترة واحدة,الجيزة,1106
110316,الخشافية الجنوبية الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء سحاب, سحاب,الخشافية الجنوبية - الحي:الخشافية الجنوبية - الشارع:,قرية,فترة واحدة,لواء سحاب ,1103
110317,الغبية الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء الجيزة, الجيزة,الغبية - الحي:الغبية - الشارع:العام,قرية,فترة واحدة,الجيزة,1106
110318,سالية الثانوية المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء الجيزة,قضاء ام الرصاص,سالية - الحي:سالية - الشارع:العام,قرية,فترة واحدة,الجيزة,1106
110319,الدليلة الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء الجيزة, الجيزة,الدليلة - الحي:الدليلة - الشارع:العام,قرية,فترة واحدة,الجيزة,1106
110320,نتل الثانوية الشاملة المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء الجيزة, الجيزة,نتل - الحي:نتل - الشارع:العام,قرية,فترة واحدة,الجيزة,1106
110321,خولة بنت الازور الاساسية المختلطـة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء سحاب, سحاب,سحاب - الحي:الشرقي - الشارع:شارع الاسكان,مدينة,فترة صباحية,لواء سحاب ,1103
110322,الرامة الثانوية الشاملة المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء الجيزة,قضاء ام الرصاص,الرامة - الحي:الرامة - الشارع:الرئيسي,قرية,فترة واحدة,الجيزة,1106
110323,الذهيبة الشرقية الثانوية الشاملة المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء الموقر, الموقر,الذهيبة الشرقية - الحي:الجنوبي - الشارع:الشارع الرئيسي قرب المركز الصحي,قرية,فترة واحدة,الموقر,1107
110324,سالم الثانوية المختلطة,publique,وزارة التربية و التعليم,المرحلة الثانوية,مختلطة ,الوسط  ,العاصمة عمان,لواء الموقر,قضاء رجم الشامي,سالم - الحي:قرب جامع عباد الرحمن - الشارع:عباد الرحمن,قرية,فترة صباحية,الموقر,1107
110325,الزيتونة الاساسية المختلطة,publique,وزارة التربية و التعليم,المرحلة الأساسية,مختلطة ,الوسط  ,العاصمة عمان,لواء الجيزة, الجيزة,الزيتونة - الحي:الزيتونة - الشارع:قفطان الفايز,قرية,فترة واحدة,الجيزة,1106
110326,أم الوليد الثانوية الشاملة للبنات,publique,وزارة التربية و التعليم,المرحلة الثانوية,اناث,الوسط  ,العاصمة عمان,لواء الجيزة, الجيزة,ام الوليد - الحي:ام الوليد - الشارع:العام,قرية,فترة واحدة,الجيزة,1106
110328,أرينبة الشرقية الثانوية للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء الجيزة, الجيزة,ارينبة الشرقية - الحي:السعد / المدارس - الشارع:الطريق الصحراوي,قرية,فترة واحدة,الجيزة,1106
110329,أم قصير الثانوية الشاملة للبنين,publique,وزارة التربية و التعليم,المرحلة الثانوية,ذكور ,الوسط  ,العاصمة عمان,لواء الجيزة, الجيزة,ام قصير - الحي:الغربي - الشارع:الرئيسي,قرية,فترة واحدة,الجيزة,1106
