id,الاسم,الاسم_بالانجليزي,نوع_الملكية,المرحلة_الدراسية,نوع_المنشأة,المحافظة,القضاء,الناحية,adm4,المدينة,العنوان,خط_الطول,خط_العرض,adm0_pcode,adm1_pcode,adm2_pcode,adm3_pcode,adm4_pcode,المصدر
node/11891236666,مدرسة الارقم الابتدائية للبنين,,غير محددة,ابتدائية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8123438,30.5186178,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11891236667,مدارس الطويسه الابتدائيه الاهليه,,غير محددة,ابتدائية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8141556,30.5178599,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11891236665,مدارس ابناء الرازي الاهلية للبنين,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8084703,30.5241285,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/6151213885,متوسطة جابر بن حيان,Jabir bn hayan school,غير محددة,متوسطة,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8113886,30.5257799,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11847645852,روضة المعتمد الانكليزيه فرع الجبيله,,غير محددة,روضة أطفال,روضة أطفال,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8115639,30.5329568,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/4334422007,مدارس الكنوز النموذجية,,غير محددة,روضة أطفال,روضة أطفال,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8075918,30.5301267,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/4331153399,مدارس الكنوز النموذجية الخاصة,,خاصة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8076646,30.5300621,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11847749006,متوسطة عز الدين سليم,,غير محددة,متوسطة,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8043085,30.5275419,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11847749005,متوسطة النعمان للبنين للتعليم الاساسي,,غير محددة,متوسطة,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8045627,30.5273184,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11847749007,ثانوية المتفوقات,,غير محددة,ثانوية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8043152,30.5273062,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11847749004,اعدادية الجمهورية للبنين,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8049513,30.5266562,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11847749010,مدرسة ابن رشد,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8037426,30.5269828,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11847749009,Future School for Boys,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.803813,30.5269048,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11847749008,ثانوية المتفوقين للبنين,,غير محددة,ثانوية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8039595,30.5269787,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11847749012,متوسطة سدرة المنتهى للبنات,,غير محددة,متوسطة,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8012414,30.5262414,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11847749011,Rihanat Alrasool High School for girl/ night shift,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8006973,30.5268875,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11847749013,اعدادية الزينبيات للبنات,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.8011516,30.5263867,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11847749014,مدرسة الشهد الابتدائية للبنات,,غير محددة,ابتدائية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.800872,30.5266738,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
way/1421215004,مدرسة الشهيد رياض مطشر الإبتدائية,,غير محددة,روضة أطفال,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,"[[47.7989838, 30.5279053], [47.799181, 30.5279733], [47.7993363, 30.5276972], [47.7989912, 30.5275125], [47.7989, 30.5276824], [47.7988014, 30.5276378], [47.7986314, 30.5278692], [47.7989222, 30.528037], [47.7989838, 30.5279053]]",,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/4450960790,ثانوية النشأ الجديد,,غير محددة,ثانوية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.7977967,30.5254382,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11875421167,إعدادية الرافدين المهنية,,غير محددة,إعدادية,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.7984526,30.5272471,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11875421166,متوسطه النعمان,,غير محددة,متوسطة,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.7980711,30.527228,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11875421164,مدارس النشأ الجديد الأهلية,,خاصة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.7964778,30.5272291,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/11875421165,معهد الأجيال النموذجي,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.7972734,30.5263731,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
node/6390508686,مدرسة جنات,,غير محددة,غير محدد,مدرسة,Al-Basrah,Al-Basrah,Markaz Al-Basrah,,,,47.7960186,30.5300782,IRQ,IQG02,IQG02Q02,IQG02Q02N02,,
