id,الاسم_بالعربية,الاسم_بالانجليزية,نوع_الملكية,المرحلة_الدراسية,نوع_المنشأة,المحافظة_AR,المنطقة_AR,الناحية_AR,المحافظة_EN,المنطقة_EN,الناحية_EN,adm0_pcode,adm1_pcode,adm2_pcode,adm3_pcode,adm4_pcode,المدينة,العنوان,خط_الطول,خط_العرض,المصدر
node/10060935576,مدرسة المهدي بن بركة الابتدائية,مدرسة المهدي بن بركة الابتدائية,غير محددة,ابتدائية,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة المهدي بن بركة الابتدائية, نزلة المخانات, الجديدة, حي قلعة الشريف, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.161667,36.21011,
way/203546668,مدرسة الغسانية,مدرسة طلال أسد,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة طلال أسد, شارع السيد علي, الجديدة, حي قلعة الشريف, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.158419,36.209823,
way/203546718,مدرسة طلال أسد,مدرسة طلال أسد,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة طلال أسد, شارع السيد علي, الجديدة, حي قلعة الشريف, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.15826,36.209839,
node/10060523308,مدرسة طلال أسد,مدرسة طلال أسد,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة طلال أسد, شارع السيد علي, الجديدة, حي قلعة الشريف, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.158694,36.20969,
way/203546695,مدرسة أبو العلاء المعري,Abou al-Alaa al-Maari School,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"ثانوية المعري, شارع النيال, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.159236,36.212432,
node/12247765934,ثانوية المعري,ثانوية المعري,غير محددة,ثانوية,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"ثانوية المعري, شارع النيال, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.159612,36.212405,
node/10060621204,Bani Taghleb Alaola مدرسة بني تغلب الاولى,Bani Taghleb Alaola مدرسة بني تغلب الاولى,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"Bani Taghleb Alaola مدرسة بني تغلب الاولى, شارع السليمانية, حي السليمانيه, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.158872,36.213287,
node/7724170485,مدرسة يلبُغا,مدرسة يلبُغا,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة يلبُغا, شارع مار سمعان العمودي, حي السليمانيه, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.158865,36.213101,
node/10060726567,مدرسة الاباء السالزيان,مدرسة الاباء السالزيان,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"مدرسة الاباء السالزيان, شارع السليمانية, حي السليمانيه, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.158077,36.216372,
way/203569273,ميخائيل كشور,ميخائيل كشور,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"ميخائيل كشور, شارع السليمانية, حي السليمانيه, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.159532,36.214532,
node/4550332399,ميخائيل كشور,السليمانية,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"ميخائيل كشور, شارع السليمانية, حي السليمانيه, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.159388,36.214438,
way/450876395,Christian Private School,Christian Private School,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"Christian Private School, شارع القدس, حي الجابريه, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.162383,36.215938,
way/203569270,Zaki Al-Arsuzi High School,Zaki Al-Arsuzi High School,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"Zaki Al-Arsuzi High School, السنوسي, حي الجابريه, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.162846,36.216072,
way/203546682,,Commerce School for girls,غير محددة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"شارع القدس, حي السليمانيه, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.161764,36.217012,
way/480614174,مدرسة الشرق الخاصة,Armenian elementry school,خاصة,غير محدد,مدرسة,حلب,Jebel Saman,Jebel Saman,Aleppo,Jebel Saman,Jebel Saman,SYR,SY02,SY0200,SY020000,,Aleppo,"شارع القدس, حي السليمانيه, Bustan al-Pasha district, حلب, ناحية مركز جبل سمعان, منطقة جبل سمعان, محافظة حلب, سوريا",37.161442,36.217159,
