CCT,NOMBRE,SECTOR,ESTADO,MUNICIPIO,LOCALIDAD,AMBITO,VIALIDAD,NUM_EXT,COLONIA,CP,LATITUD,LONGITUD
09DPR0910M,REPÚBLICA DE DAHOMEY,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,CALLE ORIENTE 108,2260,JUVENTINO ROSAS,8700,19.392537,-99.106086
09DPR0911L,MAESTROS DE MÉXICO,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,AVENIDA 5,1999,JUVENTINO ROSAS,8700,19.391191,-99.103768
09DPR0913J,LIC. ALFREDO V. BONFIL,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,CALLE ORIENTE 106,3700,GABRIEL RAMOS MILLÁN,8730,19.391285,-99.089632
09DPR0914I,GRAL. FELIPE BERRIOZABAL,PÚBLICO,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,URBANO,CALLE GENERAL FELIPE BERRIOZABAL ,1,GENERAL FELIPE BERRIOZABAL,7180,19.556257,-99.129181
09DPR0916G,GERTRUDIS ARMENDARIZ DE HIDALGO,PÚBLICO,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,URBANO,AVENIDA AVENIDA EMILIANO ZAPATA,1,ZONA ESCOLAR ORIENTE,7239,19.541102,-99.141846
09DPR0917F,SIMON BOLIVAR,PÚBLICO,CIUDAD DE MÉXICO,CUAUHTÉMOC,CUAUHTÉMOC,URBANO,CALLE BOLIVAR,162,CENTRO (ÁREA 6),6060,19.422965,-99.139828
09DPR0918E,REPÚBLICA DE RUANDA,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,CALLE SUR 159,1909,GABRIEL RAMOS MILLÁN,8730,19.390331,-99.095416
09DPR0921S,REPÚBLICA FEDERAL DE ALEMANIA,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,CALLE BENITO JUÁREZ,25,GABRIEL RAMOS MILLÁN,8730,19.394655,-99.097146
09DPR0922R,REPÚBLICA POPULAR CHINA,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,ANDADOR PLAZUELA DE LA REVOLUCIÓN,16,PUEBLO DE LA MAGDALENA MIXIUHCA,15860,19.40932,-99.11558
09DPR0923Q,REPÚBLICA FEDERAL DE ALEMANIA,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,CALLE BENITO JUÁREZ,25,GABRIEL RAMOS MILLÁN,8730,19.394027,-99.097708
09DPR0924P,REPÚBLICA DE VENEZUELA,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,CALLE SUR 117,2209,JUVENTINO ROSAS,8700,19.390933,-99.106139
09DPR0928L,RAMON LÓPEZ VELARDE,PÚBLICO,CIUDAD DE MÉXICO,CUAUHTÉMOC,CUAUHTÉMOC,URBANO,CALLE RAFAEL ÁNGEL DE LA PEÑA,73,OBRERA,6800,19.418002,-99.139736
09DPR0929K,QUETZALCOATL,PÚBLICO,CIUDAD DE MÉXICO,CUAUHTÉMOC,CUAUHTÉMOC,URBANO,CALLE RAMÓN ISAAC ALDANA,1,PAULINO NAVARRO,6870,19.41226,-99.132448
09DPR0930Z,QUETZALCOATL,PÚBLICO,CIUDAD DE MÉXICO,CUAUHTÉMOC,CUAUHTÉMOC,URBANO,AVENIDA DEL TALLER,47,PAULINO NAVARRO,6870,19.413283,-99.132287
09DPR0932Y,QUETZALCOATL,PÚBLICO,CIUDAD DE MÉXICO,CUAUHTÉMOC,CUAUHTÉMOC,URBANO,CALLE RAMÓN ISAAC ALDANA,1,PAULINO NAVARRO,6870,19.412109,-99.132484
09DPR0933X,PLAN DE ONCE AÑOS,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,CALLE JARDÍN HIDALGO,1,LA ASUNCIÓN,8600,19.390081,-99.121545
09DPR0934W,PLAN DE ONCE AÑOS,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,CALLE JARDÍN HIDALGO,1,LA ASUNCIÓN,8600,19.390081,-99.121545
09DPR0935V,JUVENTINO ROSAS,PÚBLICO,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,URBANO,CALLE JOSÉ MOJICA,1,FORESTAL I,7140,19.559812,-99.131922
09DPR0936U,MARGARITA MAZA DE JUÁREZ,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,CALLE GOMA,163,GRANJAS MÉXICO,8400,19.400563,-99.102708
09DPR0937T,MTRO. LUIS CHAVEZ OROZCO,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,CALLE SUR 163,1910,GABRIEL RAMOS MILLÁN,8730,19.390157,-99.094689
09DPR0939R,EMILIO BRAVO,PÚBLICO,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,URBANO,AVENIDA EMILIANO ZAPATA,1,ZONA ESCOLAR ORIENTE,7239,19.541065,-99.140583
09DPR0940G,LUIS CABRERA,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE RAMÓN PRIDA,41,JARDÍN BALBUENA,15900,19.412445,-99.115178
09DPR0943D,ING. JOAQUIN GALLO MONTERRUBIO,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,CALLE PASCUAL OROZCO,65,SAN MIGUEL,8650,19.391705,-99.117258
09DPR0944C,ACAYUCAN,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,AVENIDA 10,119,GENERAL IGNACIO ZARAGOZA,15000,19.412851,-99.093174
09DPR0945B,ANTONIO DE MENDOZA,PÚBLICO,CIUDAD DE MÉXICO,IZTACALCO,IZTACALCO,URBANO,AVENIDA SUR 16,1234,AGRÍCOLA ORIENTAL,8500,19.394493,-99.073185
09DPR0947Z,ANGEL DE CAMPO,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE ORIENTE 176,1,MOCTEZUMA 2A SECCIÓN,15530,19.42737,-99.095563
09DPR0951M,ANAHUAXOCHITL,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE NORTE 35,1,MOCTEZUMA 2A SECCIÓN,15530,19.437222,-99.095119
09DPR0952L,MTRO. ANDRES JUÁREZ SANTOS,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE NORTE 3,80,MOCTEZUMA 2A SECCIÓN,15530,19.42364,-99.096498
09DPR0953K,ANAHUAXOCHITL,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE NORTE 35,1,MOCTEZUMA 2A SECCIÓN,15530,19.437222,-99.095119
09DPR0954J,AMERICAS UNIDAS,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE MARRUECOS,94,ROMERO RUBIO,15400,19.442521,-99.096297
09DPR0958F,ALFONSO REYES,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE GENERAL GERTRUDIS SANCHEZ,102,1° DE MAYO,15440,19.444173,-99.101158
09DPR0959E,PROFR. GONZALO PEÑA TRONCOSO,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE SIMÓN AUDENARD,1,AMPLIACIÓN AVIACIÓN CIVIL,15750,19.413352,-99.07625
09DPR0960U,PINTOR GERARDO MURILLO,PÚBLICO,CIUDAD DE MÉXICO,IZTAPALAPA,IZTAPALAPA,URBANO,CALLE GENERAL FELIPE DE LA GARZA,253,UNIDAD EJÉRCITO CONSTITUCIONALISTA,9220,19.392747,-99.043347
09DPR0961T,PROFR. GONZALO PEÑA TRONCOSO,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE SIMÓN AUDENARD,1,AMPLIACIÓN AVIACIÓN CIVIL,15750,19.413352,-99.07625
09DPR0962S,PROFRA. CARMEN COSGAYA RIVAS,PÚBLICO,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,URBANO,AVENIDA GUADALUPE VICTORIA,1,CUAUTEPEC DE MADERO,7200,19.544406,-99.137697
09DPR0963R,PINTOR GERARDO MURILLO,PÚBLICO,CIUDAD DE MÉXICO,IZTAPALAPA,IZTAPALAPA,URBANO,CALLE GENERAL FELIPE DE LA GARZA,253,JUAN ESCUTIA,9100,19.392747,-99.043347
09DPR0964Q,LIC. FERNANDO CASAS ALEMAN,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE FLORINES,1,AQUILES SERDÁN,15430,19.447932,-99.092221
09DPR0965P,LIC. FERNANDO CASAS ALEMAN,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE FLORINES,1,AQUILES SERDÁN,15430,19.447932,-99.092221
09DPR0966O,GRAL. FELIPE BERRIOZABAL,PÚBLICO,CIUDAD DE MÉXICO,GUSTAVO A. MADERO,GUSTAVO A. MADERO,URBANO,CALLE GENERAL FELIPE BERRIOZABAL ,1,GENERAL FELIPE BERRIOZABAL,7180,19.556257,-99.129181
09DPR0967N,HISPANO AMERICA,PÚBLICO,CIUDAD DE MÉXICO,BENITO JUÁREZ,BENITO JUÁREZ,URBANO,CALLE INDIANA,91,NÁPOLES,3810,19.388916,-99.179942
09DPR0970A,ESTADO DE PUEBLA,PÚBLICO,CIUDAD DE MÉXICO,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,URBANO,CALLE PLAZA DE LA AVIACIÓN,4,MOCTEZUMA 1A SECCIÓN,15500,19.429091,-99.105616
