id,nom_ecole,type_code,type_nom,statut,annee,latitude,longitude,commune_code,commune_fi,commune_sv,seutukunta_code,seutukunta_fi,seutukunta_sv,maakunta_code,maakunta_fi,maakunta_sv
08470,Muurlan koulu,11,Peruskoulut,0,2025,60.359849,23.287255,734,Salo,Salo,022,Salo,Salo,02,Varsinais-Suomi,Egentliga Finland
04275,Muurolan peruskoulu,11,Peruskoulut,0,2025,66.368133,25.377121,698,Rovaniemi,Rovaniemi,191,Rovaniemi,Rovaniemi,19,Lappi,Lappland
04816,Muuruveden koulu,11,Peruskoulut,0,2025,63.013275,28.207134,297,Kuopio,Kuopio,112,Kuopio,Kuopio,11,Pohjois-Savo,Norra Savolax
03688,Mylly-Antin koulu,12,Peruskouluasteen erityiskoulut,0,2025,60.49297,22.27349,853,Turku,Åbo,023,Turku,Åbo,02,Varsinais-Suomi,Egentliga Finland
08648,Myllyhaan koulu,11,Peruskoulut,0,2025,61.490204,23.504646,536,Nokia,Nokia,064,Tampere,Tammerfors,06,Pirkanmaa,Birkaland
03275,Myllyjoen koulu,12,Peruskouluasteen erityiskoulut,0,2025,61.694163,27.353053,491,Mikkeli,S:t Michel,101,Mikkeli,S:t Michel,10,Etelä-Savo,Södra Savolax
06603,Myllykankaan koulu,11,Peruskoulut,0,2025,63.01509,23.638287,005,Alajärvi,Alajärvi,146,Järviseutu,Järviseutu,14,Etelä-Pohjanmaa,Södra Österbotten
07809,Myllykosken yhtenäiskoulu,11,Peruskoulut,0,2025,60.771152,26.784119,286,Kouvola,Kouvola,081,Kouvola,Kouvola,08,Kymenlaakso,Kymmenedalen
08746,Myllykylän koulu,11,Peruskoulut,2,2025,60.823243,23.817557,834,Tammela,Tammela,053,Forssa,Forssa,05,Kanta-Häme,Egentliga Tavastland
03658,Myllylän koulu,11,Peruskoulut,0,2025,60.808845,25.722968,560,Orimattila,Orimattila,071,Lahti,Lahtis,07,Päijät-Häme,Päijänne-Tavastland
03320,Myllymäen koulu,11,Peruskoulut,2,2025,60.630055,25.321959,505,Mäntsälä,Mäntsälä,011,Helsinki,Helsingfors,01,Uusimaa,Nyland
