"unique_id","province_code","geocode","source_id","provider","authority_id","authority_name","full_address","school_id","facility_name","streetAddress","postalCode","addressLocality","min_grade","max_grade","ISCED010","ISCED020","ISCED1","ISCED2","ISCED3","ISCED4Plus","is_OLMS","french_immersion","early_immersion","middle_immersion","late_immersion","facility_type","dguid","csdname","geometry","date_updated"
"ea117b64e1217340f7d6","BC",59,20,"Province of British Columbia","586.0","Squamish Montessori Society","41273 Horizon Dr, Squamish","4896826","Skyridge Montessori Elementary","41273 Horizon Dr, Squamish","..","Squamish","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055931006","Squamish","POINT (-123.13971710205078 49.72633743286133)","2024-07-02"
"37ac15d36bcfbe39b576","BC",59,20,"Province of British Columbia","48","Squamish Waldorf School","38265 Westway Ave, Squamish","4896709","Squamish Waldorf School","38265 Westway Ave, Squamish","..","Squamish","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055931006","Squamish","POINT (-123.13079833984375 49.7024040222168)","2024-07-02"
"1a8fd0980d998d24d032","BC",59,20,"Province of British Columbia","48","Sea to Sky","PO Box 640 STN Main, Squamish","4848027","St'a7mes School","STN Main, Squamish","..","Squamish","1","12","0","0","1","1","1","0","0","0","0","0","0","STANDARD","2021A00055931006","Squamish","POINT (-123.14286041259766 49.695064544677734)","2024-07-02"
"3bf50d648b69134052aa","BC",59,20,"Province of British Columbia","48","Sea to Sky","PO Box 2240 STN Main, Squamish","4848019","Valleycliffe Elementary","STN Main, Squamish","..","Squamish","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055931006","Squamish","POINT (-123.12344360351562 49.703460693359375)","2024-07-02"
"9b23c2044a637d4d9c3c","BC",59,20,"Province of British Columbia","82","Coast Mountains","PO Box 218, Stewart","8288028","Bear Valley School","Stewart","..","Stewart","1","12","0","0","1","1","1","0","0","0","0","0","0","STANDARD","2021A00055949032","Stewart","POINT (-129.98365783691406 55.939300537109375)","2024-07-02"
"f60ac2c9b15b659e347a","BC",59,20,"Province of British Columbia","67","Okanagan Skaha","PO Box 3000, Summerland","6777004","Giant's Head Elementary","Summerland","..","Summerland","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055907035","Summerland","POINT (-119.68475341796875 49.596839904785156)","2024-07-02"
"bfc1913d813dd284d221","BC",59,20,"Province of British Columbia","67","Okanagan Skaha","Drawer 3000, Summerland","6767021","Summerland Middle School","Drawer 3000, Summerland","..","Summerland","7","9","0","0","0","1","0","0","0","1","1","0","1","STANDARD","2021A00055907035","Summerland","POINT (-119.6799087524414 49.60414505004883)","2024-07-02"
"da6ef5c16d664518e3e7","BC",59,20,"Province of British Columbia","482.0","South Okanagan Montessori School Society","Box 603, Summerland","6796687","Summerland Montessori School","Summerland","..","Summerland","1","6","0","0","1","0","0","0","0","0","0","0","0","STANDARD","2021A00055907035","Summerland","POINT (-119.68388366699219 49.59742736816406)","2024-07-02"
"1599a15e8ad8f6547971","BC",59,20,"Province of British Columbia","67","Okanagan Skaha","Box 2501, Summerland","6777002","Summerland Secondary","Summerland","..","Summerland","10","12","0","0","0","0","1","0","0","1","1","0","0","STANDARD","2021A00055907035","Summerland","POINT (-119.67906951904297 49.60201644897461)","2024-07-02"
"8f733479008c91362e8f","BC",59,20,"Province of British Columbia","67","Okanagan Skaha","Box 2501, Summerland","6799203","Summerland Secondary Alternate","Summerland","..","Summerland","10","12","0","0","0","0","1","0","0","0","0","0","0","ALTERNATE","2021A00055907035","Summerland","POINT (-119.67906951904297 49.60201644897461)","2024-07-02"
