id_etablissement,nom_etablissement,nom_en,nom_translit,type_etablissement,statut_operateur,gouvernorat_region,district,sous_district,latitude,longitude,ville
node/6024441019,الارتقاء الاهلية,,lrtq lhly@,École,,Sana'a City,Shu'ub,Shu'ub,15.3840641,44.2048711,
node/11110591005,مدرسة فقيد الأمة,,mdrs@ fqyd l'm@,École,,Sana'a City,Shu'ub,Shu'ub,15.384734,44.2058657,
way/602404160,مدارس الإتقان الأهلية,,mdrs ltqn l'hly@,École,,Sana'a City,Ath Thawrah,Ath Thawrah,,,
node/7184994685,الاتقان الأهلية,,ltqn l'hly@,École,,Sana'a City,Ath Thawrah,Ath Thawrah,15.3882967,44.2066434,صنعاء
node/12599361319,مدرسة المسيلة النموذجية,,mdrs@ lmsyl@ lnmwdhjy@,École,,Sana'a City,Ath Thawrah,Ath Thawrah,15.4018043,44.2040065,صنعاء
node/4733665323,مدرسة الشهيد الكبسي,,mdrs@ lshhyd lkbsy,École,,Sana'a City,Ath Thawrah,Ath Thawrah,15.4040302,44.2132404,
node/6619156587,مدرسة غمدان النموذجية,,mdrs@ Gmdn lnmwdhjy@,École,,Sana'a City,Ath Thawrah,Ath Thawrah,15.3991749,44.210976,
node/6619156588,مدرسة اقرأ,,mdrs@ qr',École,,Sana'a City,Ath Thawrah,Ath Thawrah,15.398156,44.2113921,
node/11092808505,EXCEL ETA for training,EXCEL ETA for training,EXCEL ETA for training,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.410609,44.2150528,
node/5425915923,المعهد للتدريب والتأهيل المركزي,,lm`hd lltdryb wlt'hyl lmrkzy,École,,Sana'a City,Ath Thawrah,Ath Thawrah,15.4070192,44.2070523,
node/4636990197,مدرسة الشهيد حميد القديمي,,mdrs@ lshhyd Hmyd lqdymy,École,,Sana'a City,Ath Thawrah,Ath Thawrah,15.4064305,44.2057551,
way/104407781,مدرسة صنعاء الأهلية النموذجية,,mdrs@ Sn` l'hly@ lnmwdhjy@,École,,Sana'a City,Ath Thawrah,Ath Thawrah,,,
way/809877714,مدرسة العروبة,,mdrs@ l`rwb@,École,,Sana'a City,Bani Al Harith,Bani Al Harith,,,
node/4334111736,مدرسة الروضة للبنات,,mdrs@ lrwD@ llbnt,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.4379375,44.2167527,
way/373881009,مدرسة عمر بن عبد العزيز,Omar Bin Abdul-aziz High School,Omar Bin Abdul-aziz High School,École,,Sana'a City,Bani Al Harith,Bani Al Harith,,,
node/3773579358,مدرسة الجيل الجديد للبنات,Al-Jeel Al-Jadeed School for Girls,Al-Jeel Al-Jadeed School for Girls,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.4345938,44.2265271,
node/8194117719,مدرسة كوكب العلوم,Kawkab  aleulum school,Kawkab  aleulum school,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.432489,44.2131058,
node/8194110117,مدرسة كوكب العلوم,Kawkab aleulum School,Kawkab aleulum School,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.4323748,44.2130972,
node/4341004490,صناع الحياة الأهلية,,Sn` lHy@ l'hly@,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.4371715,44.2159383,
node/3777088318,مدرسة شهداء الجوية للبنات,Shuhada Al-Jawia School,Shuhada Al-Jawia School,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.445929,44.2198209,
way/373879348,مدرسة شهداء الجوية للبنات,Shuhada Al-Jaweia School for Girls,Shuhada Al-Jaweia School for Girls,École,,Sana'a City,Bani Al Harith,Bani Al Harith,,,
way/373876695,مدرسة جيل الوحدة,Jeel Al-Wahda School,Jeel Al-Wahda School,École,,Sana'a City,Bani Al Harith,Bani Al Harith,,,
node/3773070278,مدرسة جيل الوحدة,,mdrs@ jyl lwHd@,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.4547208,44.238231,
node/3773070279,مدرسة الفتح,,mdrs@ lftH,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.4635884,44.2349378,
node/13144529801,مدارس الشورى,,mdrs lshwr~,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.4453884,44.2331789,
node/7542976388,مدرسة الوليد الأهليه,,mdrs@ lwlyd l'hlyh,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.4466014,44.2298622,
node/3777130962,مدرسة القوبري (التعاون),Al-Taawon School,Al-Taawon School,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.4434803,44.2301071,
node/13711882201,مدرسة مشاعل النصر الأهلية,,mdrs@ msh`l lnSr l'hly@,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.479476,44.243402,
node/13711896301,مدرسة الحارث الأساسية,,mdrs@ lHrth l'ssy@,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.474707,44.245097,
node/13384264002,مدرسة الواحة,,mdrs@ lwH@,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.4752337,44.2395533,
node/13711890702,مدرسة الواحة الأهلية,,mdrs@ lwH@ l'hly@,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.475097,44.239424,
node/13410409501,مدرسة الشهيد يحيى محمد المتوكل للبنات,,mdrs@ lshhyd yHy~ mHmd lmtwkl llbnt,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.4744276,44.2356484,
node/13711932301,مدرسة العلا الأهلية,,mdrs@ l`l l'hly@,École,,Sana'a City,Bani Al Harith,Bani Al Harith,15.477383,44.233969,
node/4263194294,مدرسة بيرزاهر,,mdrs@ byrzhr,École,,Sana'a City,Bani Al Harith,Al Hama'a,15.5249877,44.2526227,
way/1234612777,Al-Shahid Al-Jabri Basic Secondary School in Bani Adwan,,Al-Shahid Al-Jabri Basic Secondary School in Bani Adwan,École,,Amran,Raydah,Dhayfan,,,
