NOM_ETABLISSEMENT,NOM_ETABLISSEMENT_AR,ADRESSE,ADRESSE_AR,COMMUNE,PROVINCE,PROVINCE_AR,REGION,REGION_AR,TEL,FAX,TYPE,SOURCE
BOURMANE,بورمان,DOUAR BOURMANE  C TIZGANE CHEFCHAOUEN,دوار بورمان جماعة تزكان,Tizgane,Province: Chefchaouen,إقليم شفشاون,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
SS BNI M HAMED,م/م بني محمد,DOUAR BNI MHAMEDCTALAMBOTCHEFCHAOUEN,دوار بني محمد جماعة تلمبوط,Talambote,Province: Chefchaouen,إقليم شفشاون,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
ECOLE PRIMAIRE DAKHLA,مدرسة الداخلة ,TISSA CENTRE,تيسة المركز,Tissa (Mun.),Province: Taounate,إقليم تاونات,Fès-Meknès,فاس-مكناس,,,PUBLIC,MENPS 2023
S S IBN TOFAIL,م.م. ابن طفيل,DOUAR EDDACHRa,دوار الدشرا سيدي العروسي,Sidi Laaroussi,Province: Essaouira,إقليم الصويرة,Marrakech-Safi,مراكش-آسفي,,,PUBLIC,MENPS 2023
SS OMAR IBNOU ABDELAZIZ,م/م عمر بن عبد العزيز,DOUAR OULED SAID LGHABA COMMUNE ZOUADA,دوار أولاد سعيد الغابة جماعة زوادة,Zouada,Province: Larache,إقليم العرائش,Tanger-Tetouan-Al Hoceima,طنجة-تطوان-الحسيمة,,,PUBLIC,MENPS 2023
AIT EL ALI BEN AHMED CENTRE,ايت العالي بن احمد المركزية,DOUAR OULED AAMER COMMUNE OULAD AAMER,دوار اولاد اعمر,Oulad Aamer,Province: El Kelâa des  S,إقليم قلعة السراغنة,Marrakech-Safi,مراكش-آسفي,,,PUBLIC,MENPS 2023
OULAD DAOUD CENTRE,اولاد داوود المركزية,DOUAR OULAD DAOUAD COMMUNE OULAD EL GARNE,دوار اولاد داوود,Oulad El Garne,Province: El Kelâa des  S,إقليم قلعة السراغنة,Marrakech-Safi,مراكش-آسفي,,,PUBLIC,MENPS 2023
MAFAHIM EL MAGHRIB 1,مفاحم المغرب 1,RUE HASSAN II JERADA,حي الرازي شارع الحسن الثاني,Jerada (Mun.),Province: Jerada,إقليم جرادة,Oriental,الشرق,,,PUBLIC,MENPS 2023
TAJGALTE,تجكالت,DOUAR TAJGALTE COMMUNE IROHALEN,دوار  تجكالت جماعة اروهالن,Irohalen,Province: Chichaoua,إقليم شيشاوة,Marrakech-Safi,مراكش-آسفي,,,PUBLIC,MENPS 2023
BOUNBAINE,بونباين,DOUAR BOUNBAINE COMMUNE AIN TAZITOUNTE,دوار  بونباين,Ain Tazitounte,Province: Chichaoua,إقليم شيشاوة,Marrakech-Safi,مراكش-آسفي,,,PUBLIC,MENPS 2023
TANSMAKHTE,تنسماخت,DOUAR TANSMAKHTE COMMUNE LALLA AAZIZA,دوار تنسماخت,Lalla Aaziza,Province: Chichaoua,إقليم شيشاوة,Marrakech-Safi,مراكش-آسفي,,,PUBLIC,MENPS 2023
AMEDLANE,أمدلان,DOUAR OUAGNGMT COMMUNE BOUABOUT AMDLANE,دوار  واكنكمت جماعة  بوابوض أمدلان,Bouabout Amdlane,Province: Chichaoua,إقليم شيشاوة,Marrakech-Safi,مراكش-آسفي,,,PUBLIC,MENPS 2023
AIT OMAR,ايت عمر,DOUAR AIT OMAR COMMUNE BOUABOUT AMDLANE,دوار  ايت عمر جماعة بوابوض أمدلان,Bouabout Amdlane,Province: Chichaoua,إقليم شيشاوة,Marrakech-Safi,مراكش-آسفي,,,PUBLIC,MENPS 2023
OULED BESSAM,اولاد بسام,DOUAR OULED BESSAM COMMUNE CHOUAFAA,دوار اولاد بسام جماعة الشوافع,Chouafaa,Province: Kénitra,إقليم القنيطرة,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE MERE LAHWARTA BOUARBI,المركزية لحوارثة بوعربي,DOUAR Lahwarta bouarbi COMMUNE azghar ,دوار الحوارثة بوعربي  جماعة أزغار ,Azghar,Province: Sidi Slimane,إقليم سيدي سليمان,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
OULED   ELMAJDOUB,أولاد المجذوب,DOUAR OULED MAJDOUB COMMUNE BENI MALEK,دوار أولاد المجذوب جماعة بني مالك,Beni Malek,Province: Kénitra,إقليم القنيطرة,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE  OMAR IBN ABDELAZIZ,مدرسة عمر بن عبد العزيز,CITE ROYALE COMMUNE DE HSAINE,الحي الملكي أحصين,Hssaine (Arrond.),Préfecture: Salé,عمالة سلا,Rabat-Salé-Kénitra,الرباط-سلا-القنيطرة,,,PUBLIC,MENPS 2023
ECOLE AL IMAM MALEK,مدرسة الإمام مالك,HAY MABROUKA COMMUNE SETTAT,حي مبروكة سطات,Settat (Mun.),Province: Settat,إقليم سطات,Grand Casablanca-Settat,الدار البيضاء-سطات,,,PUBLIC,MENPS 2023
