,name,struct,addr,lat,lon
17615,Муниципальное образовательное учреждение Михайловская основная общеобразовательная школа,(Муниципальное образовательное учреждение),"607003, Нижегородская область, Кулебакский район, село Михайловка",55.30081,42.78901
17616,Муниципальное образовательное учреждение Белавская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606268, Нижегородская область, Воротынский район, село Белавка, улица Школьная, дом 22",56.05732,45.87033
17617,Муниципальное образовательное учреждение Красногорская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606278, Нижегородская область, Воротынский район, поселок Красная Горка, улица Лесная",56.00563,45.60886
17618,Муниципальное образовательное учреждение для детей дошкольного и младшего школьного возраста Трофимовская начальная школа-детский сад,(Муниципальное образовательное учреждение),"606239, Нижегородская область, Лысковский район, село Трофимово, улица Полевая, дом 3",56.01884,45.05378
17619,Муниципальное образовательное учреждение Саваслейская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607007, Нижегородская область, Кулебакский район, село Саваслейка",55.46687,42.34048
17620,Муниципальное образовательное учреждение Чернухинская специальная (коррекционная) школа-интернат VIII вида,(Муниципальное образовательное учреждение),"606240, Нижегородская область, Лысковский район, село Чернуха, улица Буренино, дом 5 а",56.01338,45.15627
17621,Муниципальное образовательное учреждение Мурзицкая средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607013, Нижегородская область, Кулебакский район, село Мурзицы",55.44353,42.4892
17622,Муниципальное образовательное учреждение Белозерихинская основная общеобразовательная школа,(Муниципальное образовательное учреждение),"606247, Нижегородская область, Лысковский район, село Белозериха, улица Советская, дом 8 а",56.0442,45.03842
17623,Муниципальное образовательное учреждение Велетьминская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607001, Нижегородская область, Кулебакский район, поселок Велетьма",55.34201,42.42105
17624,Муниципальное образовательное учреждение Мелявская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607023, Нижегородская область, Кулебакский район, поселок Гремячево",55.39342,43.05517
17625,Государственное общеобразовательное учреждение Горбатовская областная специальная (коррекционная) общеобразовательная школа - интернат I вида,(Государственное образовательное учреждение),"606125, Нижегородская область, Павловский район, город Горбатов, улица Набережная, дом 2",56.13444,43.06958
17626,Муниципальное образовательное учреждение Тепловская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607028, Нижегородская область, Кулебакский район, село Теплово",55.41675,42.90417
17627,Муниципальное образовательное учреждение Поздняковская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"607114, Нижегородская область, Навашинский район, село Поздняково, улица Школьная, дом 2",55.52387,42.54962
17628,Муниципальное образовательное учреждение Ефановская основная общеобразовательная школа,(Муниципальное образовательное учреждение),"607115, Нижегородская область, Навашинский район, село Ефаново, улица Школьная",55.53429,42.51871
17629,Муниципальное образовательное учреждение средняя общеобразовательная школа п.Центральный,(Муниципальное образовательное учреждение),"607620, Нижегородская область, Богородский район, поселок Центральный",56.1018,43.51683
17630,Муниципальное образовательное учреждение Новошинская специальная (коррекционная) общеобразовательная школа VIII вида,(Муниципальное образовательное учреждение),"607112, Нижегородская область, Навашинский район, село Новошино, улица Школьная, дом 1",55.59381,42.23686
17631,Муниципальное образовательное учреждение Малаховская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606186, Нижегородская область, Сосновский район, село Малахово, улица Школьная, дом 10",55.80963,43.17925
17632,Муниципальное образовательное учреждение Рожковская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606181, Нижегородская область, Сосновский район, село Рожок, улица Микрорайон, дом 7",55.65843,43.20735
17633,Муниципальное образовательное учреждение Панинская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"606187, Нижегородская область, Сосновский район, село Панино, улица Молодежная, дом 29",55.7939309,43.1711755
17634,Муниципальное образовательное учреждение Огнев-Майданская начальная школа-детский сад,(Муниципальное образовательное учреждение),"606264, Нижегородская область, Воротынский район, село Огнев-Майдан, улица Первомайская, дом 8",56.06319,45.85708
