place_id,name,longitude,latitude,country,country_code,state,county,city,district,street,formatted
512dbd10d720e9534059570157f9698e4240f00102f901a7128e4c00000000920315e5a2a8e78e89e58ebfe68a80e5b7a5e5ada6e6a0a1,墨玉县技工学校,79.64262940058389,37.11260906933119,China,cn,Xinjiang,,Qaraqash County,,Tuhe Expressway,"墨玉县技工学校, Tuhe Expressway, Xinjiang, China"
5137f498a7f0e65340590af369f89f904240f00102f90124e4c22c00000000920321e5a2a8e78e89e58ebfe69c9de998b3e7acace4b880e9ab98e7baa7e4b8ade5ada6,墨玉县朝阳第一高级中学,79.60843839585219,37.129881908162204,China,cn,Xinjiang,,Qaraqash County,,G315,"墨玉县朝阳第一高级中学, G315, Xinjiang, China"
51efda9461d7d253405953215797d79d4240f00102f901e74e134800000000920318e69886e78e89e8818ce4b89ae68a80e69cafe5ada6e999a2,昆玉职业技术学院,79.29439582382814,37.233141820472746,China,cn,Xinjiang,,Kunyu,Yudu,昆泉大道,"昆玉职业技术学院, 昆泉大道, Yudu, Xinjiang, China"
511e7e2274e5a45340591a945233f0b84240f00102f901e3581f3900000000920315e69ca8e59089e99587e4b8ade5bf83e5b08fe5ada6,木吉镇中心小学,78.5765047394602,37.44483033687739,China,cn,Xinjiang,Pishan County,Guma,,G315,"木吉镇中心小学, G315, Pishan County, Xinjiang, China"
516e0c562d20a5534059194df0754bb94240f00102f901e6581f390000000092030fe69ca8e59089e99587e4b8ade5ada6,木吉镇中学,78.58008893397502,37.4476153777452,China,cn,Xinjiang,Pishan County,Guma,,G315,"木吉镇中学, G315, Pishan County, Xinjiang, China"
51a7044e39bc835340598603381daac54240f00102f901ef611f3900000000,,78.0583632718941,37.54425397143409,China,cn,Xinjiang,Pishan County,巴什阿孜干村 باش ئازغان,,,"巴什阿孜干村 باش ئازغان, Pishan County, China"
514cd7c166ef9153405971e5234947cb4240f00102f90121c3134800000000,,78.28023690156732,37.58811296704051,China,cn,Xinjiang,Pishan County,Guma,,Anhui Avenue,"Anhui Avenue, Pishan County, Xinjiang, China"
514d3e5249a55d534059f1f7bf463deb4240f00102f90116370f4400000000920318e58fb6e59f8ee58ebfe7acace58d81e4b880e4b8ade5ada6,叶城县第十一中学,77.46321328193262,37.8378075063082,China,cn,Xinjiang,Kargilik County,Beshériq,,喀东线,"叶城县第十一中学, 喀东线, Kargilik County, Xinjiang, China"
51ed90ac0d5f5c53405964181ccaf5ec4240f00103f901756dea790200000092031be58fb6e59f8ee58ebfe8818ce4b89ae9ab98e4b8ade5ada6e6a0a1,叶城县职业高中学校,77.4433016,37.8512509,China,cn,Xinjiang,Kargilik County,Tétir,,纬三路,"叶城县职业高中学校, 纬三路, Kargilik County, 844900 Xinjiang, China"
518f4536da435b534059dac274bac4f04240f00102f9012e370f4400000000920315e58fb6e59f8ee58ebfe7acace4b880e4b8ade5ada6,叶城县第一中学,77.42601638126347,37.8810036726115,China,cn,Xinjiang,Kargilik County,Chasa Meschit,,Yeguqi Road,"叶城县第一中学, Yeguqi Road, Kargilik County, 844900 Xinjiang, China"
514c021912e3d9524059db9a50f3ebac4240f00102f901af6b4c5500000000920315e8bebee5b883e8bebee5b094e4b9a1e5b08fe5ada6,达布达尔乡小学,75.4044842952946,37.35095063625132,China,cn,Xinjiang,Taxkorgan Tajik Autonomous County,Dafdar,,G314,"达布达尔乡小学, G314, Taxkorgan Tajik Autonomous County, Xinjiang, China"
51efba71edbdcd524059211eb1c0fee84240f00102f90131932f3200000000,,75.21471725565401,37.820274435504196,China,cn,Xinjiang,Taxkorgan Tajik Autonomous County,Tiznap Township,,G314,"G314, Taxkorgan Tajik Autonomous County, Xinjiang, China"
511aa2f89c02ce524059d0d5aa52a9e24240f00102f9013af7a0560000000092031ee5a194e4bb80e5ba93e5b094e5b9b2e4b8ade5bf83e5b9bce584bfe59bad,塔什库尔干中心幼儿园,75.21890949516856,37.77079232541621,China,cn,Xinjiang,Taxkorgan Tajik Autonomous County,Tashkorgan,,Chogoli Road,"Tashkurgan Central Kindergarten, Chogoli Road, Taxkorgan Tajik Autonomous County, 854250 Xinjiang, China"
513a3976bf49ce5240598b5fe0e337e14240f00102f90134f1a05600000000920321e5a194e4bb80e5ba93e5b094e5b9b2e58ebfe7acace4ba8ce5b9bce584bfe59bad,塔什库尔干县第二幼儿园,75.22325121445911,37.75951813178752,China,cn,Xinjiang,Taxkorgan Tajik Autonomous County,Tashkorgan,,喀拉苏路,"Tashkurgan No. 2 Kindergarten, 喀拉苏路, Taxkorgan Tajik Autonomous County, 854250 Xinjiang, China"
5157365b915b495340590c5f739da70a4340f00102f901322c274000000000920318e5b7b4e5b79ee79fb3e6b2b9e7acace4ba8ce4b8ade5ada6,巴州石油第二中学,77.14621385486076,38.08324020512927,China,cn,Xinjiang,Poskam County,Aqtam,,X484,"巴州石油第二中学, X484, Poskam County, Xinjiang, China"
51c10b114145515340591d64c4ede1164340f00102f90152fb6c1a00000000920315e6b3bde699aee58ebfe7acace4ba94e4b8ade5ada6,泽普县第五中学,77.26985193886414,38.178769799131466,China,cn,Xinjiang,Poskam County,Poskam,,Qiancheng Road,"泽普县第五中学, Qiancheng Road, Poskam County, Xinjiang, China"
