Ville,District,Nom_Ecole,Type_Ecole,Statut,Adresse,Telephone
ADANA,CEYHAN,Toros Tarım İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Toros Tarım Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Ülkü Halim Gökçedağ İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Yaltır Kardeşler Kız Mesleki ve Teknik Anadolu Lisesi,Lise,Public,,
ADANA,CEYHAN,Yaltır Kardeşler Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,Yeşildam İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Yeşildam Ortaokulu,Ortaokul,Public,,
ADANA,CEYHAN,YÜKSEL DAL ANAOKULU,Diğer,Public,,
ADANA,CEYHAN,Zahit Çetin İlkokulu,İlkokul,Public,,
ADANA,CEYHAN,Zerrin Ziya Çetin Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,15 Temmuz Şehitleri Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Abbas-Sıdıka Çalık Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Abdullah Cem Turhan Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Adana Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Adana Çukurova Güzel Sanatlar Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Adana Genç İş İnsanları Derneği Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Adana Kız Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Adana Tabipler Odası İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Adana Ticaret Borsası Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Adana Ticaret Odası 125. Yıl İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Ahmet Kurttepeli Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Ahmet Sabancı Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Akşemsettin Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Alparslan İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Alparslan Türkeş Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Attila İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Ayşe Atıl İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Barış Manço Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Buhara Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Çağrıbey Mesleki ve Teknik Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,ÇEAS Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Çukurova Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Çukurova Bilim ve Sanat Merkezi,Diğer,Public,,
ADANA,ÇUKUROVA,Çukurova Bilim ve Sanat Merkezi Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Çukurova Borsa İstanbul İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Çukurova Elektrik Mesleki ve Teknik Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Çukurova Halk Eğitimi Merkezi,Diğer,Public,,
ADANA,ÇUKUROVA,Çukurova İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Çukurova İmam Hatip Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Çukurova Mesleki Eğitim Merkezi,Diğer,Public,,
ADANA,ÇUKUROVA,Çukurova Özel Eğitim Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Çukurova Rehberlik ve Araştırma Merkezi,Diğer,Public,,
ADANA,ÇUKUROVA,Çukurova Şehit Aytekin Kuru Halk Eğitimi Merkezi,Diğer,Public,,
ADANA,ÇUKUROVA,Çukurova Toroslar Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Dörtler Topalak İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,DSİ Baraj Ortaokulu,Ortaokul,Public,,
ADANA,ÇUKUROVA,Edebali İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Emine Nabi Menemencioğlu Anadolu Lisesi,Lise,Public,,
ADANA,ÇUKUROVA,Emine Nabi Menemencioğlu Anaokulu,Anaokulu,Public,,
ADANA,ÇUKUROVA,Emine Nabi Menemencioğlu İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Emine Sapmaz İlkokulu,İlkokul,Public,,
ADANA,ÇUKUROVA,Ertuğrul Gazi İlkokulu,İlkokul,Public,,
