X,Y,OBJECTID,PPIN,NAME,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR
-80.108248331,26.2758351850001,12440,A1700744,ANGELS CHRISTIAN ACADEMY OF POMPANO BEACH,1111 E SAMPLE RD,"POMPANO BCH.,",FL,33064,12,011,Broward County,12,26.27584,-80.108251,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",1223,12100,12037,2023-2024
-80.3240792779999,25.9111482820001,12441,A1700746,ANGELS REACH ACADEMY FOR DIVERGENT LEARNERS,"15165 NW 77TH AVE, MAIN OFFICE 1002",MIAMI LAKES,FL,33014,12,086,Miami-Dade County,21,25.911153,-80.324082,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",1226,12110,12039,2023-2024
-80.2818582799999,26.3002451830001,12442,A1700756,ATLANTIS ACADEMY,11411 NW 56TH DR,CORAL SPRINGS,FL,33076,12,011,Broward County,21,26.30025,-80.281861,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",1223,12096,12030,2023-2024
-80.489010241,25.4472034030001,12443,A1700758,AVANT SCHOOL OF EXCELLENCE,777-B W PALM DR,FLORIDA CITY,FL,33034,12,086,Miami-Dade County,21,25.447208,-80.489013,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",1228,12117,12040,2023-2024
-80.298428286,25.864915293,12444,A1700762,BAMBI LAND DAY CARE,4755 W 8TH AVE,HIALEAH,FL,33012,12,086,Miami-Dade County,21,25.86492,-80.298431,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1,370,"Miami-Port St. Lucie-Fort Lauderdale, FL",1226,12112,12039,2023-2024
-82.344065628,28.055307799,12445,A1700764,BAYAAN ACADEMY,11734 JEFFERSON RD,THONOTOSASSA,FL,33592,12,057,Hillsborough County,41,28.055313,-82.344069,45300,"Tampa-St. Petersburg-Clearwater, FL",1,N,N,1215,12067,12023,2023-2024
-80.598993132,28.152136732,12446,A1700765,BEACHSIDE MONTESSORI SCHOOL,1230 BANANA RIVER DR,INDN HBR BCH,FL,32937,12,009,Brevard County,21,28.152142,-80.598996,37340,"Palm Bay-Melbourne-Titusville, FL",1,N,N,1208,12032,12019,2023-2024
-80.719760091,28.3219506930001,12447,A1700769,BEHAVIOR EDUCATION CENTER,550 SOLUTIONS WAY,ROCKLEDGE,FL,32955,12,009,Brevard County,21,28.321956,-80.719763,37340,"Palm Bay-Melbourne-Titusville, FL",1,N,N,1208,12032,12019,2023-2024
-81.383987893,28.4669546750001,12448,A1700771,BETHANY LEARNING ACADEMY,6229 WINEGARD RD,ORLANDO,FL,32809,12,095,Orange County,21,28.46696,-81.383991,36740,"Orlando-Kissimmee-Sanford, FL",1,422,"Orlando-Lakeland-Deltona, FL",1209,12044,12015,2023-2024
-81.8915377339999,28.811509605,12449,A1700774,BETTER LIFE ACADEMY,1650 W MAIN ST STE 1 # 2-4,LEESBURG,FL,34748,12,069,Lake County,22,28.811515,-81.891541,36740,"Orlando-Kissimmee-Sanford, FL",1,422,"Orlando-Lakeland-Deltona, FL",1211,12026,12013,2023-2024
