codigo_escola_dgeec,nome_escola,municipio,distrito,nuts_III,nuts_II,source_donnees,total_alunos_2022_23,alunos_1ano_2022_23,alunos_2ano_2022_23,alunos_3ano_2022_23,alunos_4ano_2022_23,taxa_retencao_media_2022_23,alunos_2ciclo_2019_2020_5ano,alunos_2ciclo_2019_2020_6ano,alunos_2ciclo_2020_2021_5ano,alunos_2ciclo_2020_2021_6ano,alunos_2ciclo_2021_2022_5ano,alunos_2ciclo_2021_2022_6ano,alunos_2ciclo_2022_2023_5ano,alunos_2ciclo_2022_2023_6ano,pct_2ciclo_homens,pct_2ciclo_mulheres,total_alunos_2ciclo,retencao_2ciclo_5ano_2022_23,retencao_2ciclo_6ano_2022_23,conclusao_2ciclo_n_amostra,conclusao_2ciclo_pct_escola,conclusao_2ciclo_pct_nat_comparable
1505285,"Escola Básica de Melides, Grândola",Grândola,,,,1er_cycle_uniquement,42.0,11.0,9.0,11.0,11.0,0.0275,,,,,,,,,,,,,,,,
1505727,"Escola Básica de Aldeia do Futuro, Grândola",Grândola,,,,1er_cycle_uniquement,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1505820,"Escola Básica de Lousal, Grândola",Grândola,,,,1er_cycle_uniquement,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
1505913,"Escola Básica de Carvalhal, Grândola",Grândola,,,,1er_cycle_uniquement,52.0,12.0,17.0,14.0,9.0,0.03,,,,,,,,,,,,,,,,
1506002,"Escola Básica do Rosário, Moita",Moita,,,,1er_cycle_uniquement,39.0,8.0,9.0,11.0,11.0,0.0,,,,,,,,,,,,,,,,
1506006,"Escola Básica de Barra Cheia, Moita",Moita,,,,1er_cycle_uniquement,34.0,7.0,6.0,10.0,11.0,0.0,,,,,,,,,,,,,,,,
1506010,"Escola Básica D. João I, Baixa da Banheira, Moita",Moita,,,,2eme_cycle_uniquement,,,,,,,103,122,102,109,102,104,118,109,0.49,0.51,227,0.12999999523162842,0.15000000596046448,87,0.9195402298850575,0.9473516753115906
1506034,"Escola Básica n.º 3 da Baixa da Banheira, Moita",Moita,,,,1er_cycle_uniquement,74.0,23.0,5.0,20.0,26.0,0.2125,,,,,,,,,,,,,,,,
1506070,"Escola Básica de Penteado, Moita",Moita,,,,1er_cycle_uniquement,39.0,10.0,13.0,7.0,9.0,0.065,,,,,,,,,,,,,,,,
1506116,"Escola Básica Mouzinho da Silveira, Baixa da Banheira, Moita",Moita,,,,2eme_cycle_uniquement,,,,,,,152,153,116,161,127,125,128,132,0.52,0.48,260,0.07000000029802322,0.07999999821186066,108,0.9259259259259259,0.9370441589865047
1506188,"Escola Básica n.º 5 da Baixa da Banheira, Moita",Moita,,,,1er_cycle_uniquement,120.0,39.0,30.0,23.0,28.0,0.1175,,,,,,,,,,,,,,,,
1506191,"Escola Básica n.º 1 de Alhos Vedros, Moita",Moita,,,,1er_cycle_uniquement,153.0,27.0,43.0,45.0,38.0,0.0425,,,,,,,,,,,,,,,,
1506205,"Escola Básica n.º 2 de Alhos Vedros, Moita",Moita,,,,1er_cycle_uniquement,186.0,47.0,53.0,42.0,44.0,0.025,,,,,,,,,,,,,,,,
1506217,"Escola Básica n.º 6 da Baixa da Banheira, Moita",Moita,,,,1er_cycle_uniquement,93.0,27.0,20.0,23.0,23.0,0.0,,,,,,,,,,,,,,,,
1506257,"Escola Básica n.º 1 de Vale da Amoreira, Moita",Moita,,,,1er_cycle_uniquement,169.0,59.0,44.0,66.0,0.0,0.01,,,,,,,,,,,,,,,,
