NatEmis,OldNATEMIS,NewNATEMIS,DataYear,Quarter,Province,Institution_Name,DoE_Status,Sector,Type_DoE,Phase_PED,Specialisation,OwnerLand,OwnerBuild,ExDept,ExamNo,ExamCentre,PaypointNo,ComponentNo,GIS_Long,GIS_Lat,DMunCode,DMunName,LMunCode,LMunName,Ward_ID,SP_Code,SP_Name,EIDistrict,EICircuit,Township_Village,Suburb,Town_City,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,Learners_2023,Educators_2023
500290376,0,500290376,2023,3. Q3,5. KwaZulu Natal,Usizolwethu Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,3. Tribal/Land Trust,3. Tribal/Land Trust,12. Kwazulu Natal Education Department,,,,91560,29.588,-28.971,22. DC23,22. uThukela District Municipality,100. KZN237,100. Inkosi Langalibalele Local Municipality,52307003,51802007,Engonyameni,Uthukela,,,,,2. No,99. None,2. Lower middle 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,418,11
500290450,0,500290450,2023,3. Q3,5. KwaZulu Natal,Usuthu C.P School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,,,,360231,31.504,-27.974,25. DC26,25. Zululand District Municipality,112. KZN265,112. Nongoma Local Municipality,52605015,53004004,Bululwane,Zululand,,,Nongoma,,2. No,99. None,1. Poorest 20% (No fee paying),1. Yes,17. Zululand,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,455,16
500290487,0,500290487,2023,3. Q3,5. KwaZulu Natal,Uthando Public Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,7. House of Delegates(HOD),,,,51117,30.943,-29.685,5. ETH,5. eThekwini Metropolitan Municipality,87. ETH,87. eThekwini Metropolitan Municipality,59500056,57232002,Amatikwe,Pinetown,,,Inanda,,2. No,99. None,3. Middle 20% (No fee paying),1. Yes,9. Inanda,03jan1900,1. Yes,1. Urban,0,6. KwaZulu Natal,6. KwaZulu Natal,1471,39
500290524,0,500290524,2023,3. Q3,5. KwaZulu Natal,Crawford North Coast,1. Open,2. Independent,1. Ordinary School,5. Combined School,Ordinary School,2. Independent/Private,2. Independent/Private,,,5412408,,,31.154,-29.593,5. ETH,5. eThekwini Metropolitan Municipality,87. ETH,87. eThekwini Metropolitan Municipality,59500058,57223006,Inanda Nu,Pinetown,,,Oceans,,2. No,99. None,,2. No,,03jan1900,2. No,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,688,1
500290561,0,500290561,2023,3. Q3,5. KwaZulu Natal,Utrecht High School,1. Open,1. Public,1. Ordinary School,5. Combined School,Ordinary School,1. Public/State,1. Public/State,6. House of Assembly(HOA),5213234,5213234,,73690,30.319,-27.658,24. DC25,24. Amajuba District Municipality,107. KZN253,107. eMadlangeni Local Municipality,52503002,52503000,None,Amajuba,,,,,2. No,99. None,4. Upper middle 20% (Fee paying),2. No,,03jan1900,2. No,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,487,21
500290598,0,500290598,2023,3. Q3,5. KwaZulu Natal,Utrecht Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,8. House of Representatives(HOR),,,,81463,30.308,-27.669,24. DC25,24. Amajuba District Municipality,107. KZN253,107. eMadlangeni Local Municipality,52503005,52503001,Bensdorp,Amajuba,,,Bensdorp,,2. No,99. None,2. Lower middle 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,417,13
500290635,0,500290635,2023,3. Q3,5. KwaZulu Natal,Uxolo Nokuzwana Secondary School,1. Open,1. Public,1. Ordinary School,4. Secondary School,Secondary School,2. Independent/Private,2. Independent/Private,3. Department of Education & Training(DET),5211428,5211428,,5051,29.564,-28.482,22. DC23,22. uThukela District Municipality,101. KZN238,101. Alfred Duma Local Municipality,52308026,51403002,Kliprivier Nu,Uthukela,,,,,2. No,99. None,3. Middle 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,104,7
500290672,0,500290672,2023,3. Q3,5. KwaZulu Natal,Uyaya High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,Secondary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,5113136,5113136,,260119,31.116,-28.911,27. DC28,27. King Cetshwayo District Municipality,120. KZN284,120. uMlalazi Local Municipality,52804002,54021003,Izinyathi,King Cetshwayo,,,Ntuli Tribal Authority,,2. No,99. None,1. Poorest 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,160,7
500290709,0,500290709,2023,3. Q3,5. KwaZulu Natal,Uyengo High School,1. Open,1. Public,1. Ordinary School,4. Secondary School,Secondary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,5113471,5113471,,240157,32.021,-28.586,27. DC28,27. King Cetshwayo District Municipality,118. KZN281,118. uMfolozi Local Municipality,52801008,53705001,Bumbaneni,King Cetshwayo,,,Kwa-Mbonambi,,2. No,99. None,3. Middle 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,1017,32
500290746,0,500290746,2023,3. Q3,5. KwaZulu Natal,Uyikhulu Secondary School,1. Open,1. Public,1. Ordinary School,4. Secondary School,Secondary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,5413340,5413340,,180149,30.818,-29.574,28. DC29,28. Ilembe District Municipality,125. KZN293,125. Ndwedwe Local Municipality,52903017,54508003,Imeme,Ilembe,,,Ndwedwe,,2. No,99. None,1. Poorest 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,183,6
500290894,0,500290894,2023,3. Q3,5. KwaZulu Natal,Van Reenen Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,3. Department of Education & Training(DET),,,,614330,29.381,-28.375,22. DC23,22. uThukela District Municipality,101. KZN238,101. Alfred Duma Local Municipality,52308026,51403002,Kliprivier Nu,Uthukela,,,Vanreenen,,2. No,99. None,3. Middle 20% (No fee paying),2. No,,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,136,6
500290931,0,500290931,2023,3. Q3,5. KwaZulu Natal,Van Riebeeck Park Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,6. House of Assembly(HOA),,,,74974,30.998,-29.921,5. ETH,5. eThekwini Metropolitan Municipality,87. ETH,87. eThekwini Metropolitan Municipality,59500066,57218116,Wentworth,Umlazi,,,Wentworth,,2. No,99. None,5. Richest 20% (Fee paying),2. No,,03jan1900,2. No,1. Urban,0,6. KwaZulu Natal,6. KwaZulu Natal,611,22
500290968,0,500290968,2023,3. Q3,5. KwaZulu Natal,Vavule Primary School,1. Open,1. Public,1. Ordinary School,2. Primary School,Primary School,1. Public/State,1. Public/State,12. Kwazulu Natal Education Department,,,,340163,30.791,-28.798,23. DC24,23. uMzinyathi District Municipality,105. KZN245,105. Umvoti Local Municipality,52405006,52301005,Ndimakude,Umzinyathi,,,Kwasenge Area,,2. No,99. None,1. Poorest 20% (No fee paying),1. Yes,16. Umzinyathi,03jan1900,1. Yes,2. Rural,0,6. KwaZulu Natal,6. KwaZulu Natal,61,4
