Calendar Year;ACARA SML ID;Location AGE ID;School AGE ID;School Name;Suburb;State;Postcode;School Sector;School Type;Campus Type;Rolled Reporting Description;Two years before Year 1 Offered;Two years before Year 1 Enrolments;One year before Year 1 Offered;One year before Year 1 Enrolments;Year 1 Offered;Year 1 Enrolments;Year 2 Offered;Year 2 Enrolments;Year 3 Offered;Year 3 Enrolments;Year 4 Offered;Year 4 Enrolments;Year 5 Offered;Year 5 Enrolments;Year 6 Offered;Year 6 Enrolments;Year 7 Offered;Year 7 Enrolments;Year 8 Offered;Year 8 Enrolments;Year 9 Offered;Year 9 Enrolments;Year 10 Offered;Year 10 Enrolments;Year 11 Offered;Year 11 Enrolments;Year 12 Offered;Year 12 Enrolments;Primary Ungraded Offered;Primary Ungraded Enrolments;Secondary Ungraded Offered;Secondary Ungraded Enrolments;Total Enrolments
2025;45245;57489;17489;Timbarra P-9 College;Berwick;VIC;3806;Government;Combined;School Single Entity;Individual Reporting;0;;1;40;1;34;1;41;1;46;1;51;1;61;1;62;1;85;1;115;1;59;0;;0;;0;;0;;0;;594
2025;45246;57817;17817;Parkwood Green Primary School;Hillside;VIC;3037;Government;Primary;School Single Entity;Individual Reporting;0;;1;74;1;73;1;63;1;63;1;77;1;74;1;71;0;;0;;0;;0;;0;;0;;0;;0;;495
2025;45247;57508;17508;Hillsmeade Primary School;Narre Warren South;VIC;3805;Government;Primary;School Single Entity;Individual Reporting;0;;1;89;1;97;1;103;1;112;1;117;1;139;1;125;0;;0;;0;;0;;0;;0;;0;;0;;782
2025;45248;69642;29642;Brookside P-9 College;Caroline Springs;VIC;3023;Government;Combined;School Single Entity;Individual Reporting;0;;1;79;1;81;1;91;1;94;1;111;1;122;1;121;1;177;1;169;1;180;0;;0;;0;;0;;0;;1225
2025;45249;69643;29643;Creekside K-9 College;Caroline Springs;VIC;3023;Government;Combined;School Single Entity;Individual Reporting;0;;1;81;1;90;1;108;1;115;1;118;1;105;1;137;1;180;1;166;1;187;0;;0;;0;;0;;0;;1287
2025;45250;69645;29645;Springside Primary School;Caroline Springs;VIC;3023;Government;Primary;School Single Entity;Individual Reporting;0;;1;133;1;150;1;133;1;139;1;165;1;118;1;138;0;;0;;0;;0;;0;;0;;0;;0;;976
2025;45251;57176;17176;Roxburgh Park Primary School;Roxburgh Park;VIC;3064;Government;Primary;School Single Entity;Individual Reporting;0;;1;38;1;35;1;52;1;42;1;52;1;57;1;69;0;;0;;0;;0;;0;;0;;0;;0;;345
2025;45252;65632;25632;Carranballac P-9 College;Point Cook;VIC;3030;Government;Combined;School Head Campus;Rolled Reporting;0;;1;50;1;62;1;64;1;76;1;82;1;79;1;104;1;107;1;115;1;109;0;;0;;0;;0;;0;;848
2025;45254;57509;17509;Benton Junior College;Mornington;VIC;3931;Government;Primary;School Single Entity;Individual Reporting;0;;1;62;1;77;1;92;1;70;1;92;1;87;1;105;0;;0;;0;;0;;0;;0;;0;;0;;585
2025;45255;49058;9058;Caulfield Primary School;Caulfield South;VIC;3162;Government;Primary;School Single Entity;Individual Reporting;0;;1;48;1;58;1;37;1;46;1;44;1;36;1;43;0;;0;;0;;0;;0;;0;;0;;0;;312
2025;45256;57816;17816;East Gippsland Specialist School;Bairnsdale;VIC;3875;Government;Special;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;47;1;48;95
2025;45257;58061;18061;Roxburgh Rise Primary School;Roxburgh Park;VIC;3064;Government;Primary;School Single Entity;Individual Reporting;0;;1;73;1;81;1;84;1;81;1;110;1;109;1;95;0;;0;;0;;0;;0;;0;;0;;0;;633
2025;45258;58028;18028;Lynbrook Primary School;Lynbrook;VIC;3975;Government;Primary;School Single Entity;Individual Reporting;0;;1;94;1;100;1;116;1;107;1;126;1;120;1;114;0;;0;;0;;0;;0;;0;;0;;0;;777
2025;45259;62755;22755;South Gippsland Specialist School;Leongatha;VIC;3953;Government;Special;School Single Entity;Individual Reporting;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;1;23;1;44;67
2025;45260;66761;26761;Laurimar Primary School;Doreen;VIC;3754;Government;Primary;School Single Entity;Individual Reporting;0;;1;144;1;109;1;152;1;153;1;137;1;138;1;135;0;;0;;0;;0;;0;;0;;0;;0;;968
2025;45261;67628;27628;Berwick Chase Primary School;Berwick;VIC;3806;Government;Primary;School Single Entity;Individual Reporting;0;;1;78;1;95;1;88;1;98;1;110;1;121;1;110;0;;0;;0;;0;;0;;0;;0;;0;;700
2025;45262;67631;27631;Pakenham Lakeside Primary School;Pakenham;VIC;3810;Government;Primary;School Single Entity;Individual Reporting;0;;1;96;1;92;1;95;1;112;1;103;1;88;1;118;0;;0;;0;;0;;0;;0;;0;;0;;704
2025;45263;66762;26762;Pakenham Springs Primary School;Pakenham;VIC;3810;Government;Primary;School Single Entity;Individual Reporting;0;;1;83;1;99;1;95;1;110;1;104;1;96;1;100;0;;0;;0;;0;;0;;0;;0;;0;;687
2025;45264;68546;28546;Taylors Hill Primary School;Taylors Hill;VIC;3037;Government;Primary;School Single Entity;Individual Reporting;0;;1;68;1;86;1;82;1;76;1;87;1;80;1;96;0;;0;;0;;0;;0;;0;;0;;0;;575
2025;45265;68549;28549;Cranbourne Carlisle Primary School;Cranbourne;VIC;3977;Government;Primary;School Single Entity;Individual Reporting;0;;1;82;1;87;1;88;1;93;1;98;1;64;1;76;0;;0;;0;;0;;0;;0;;0;;0;;588
2025;45266;68547;28547;Derrimut Primary School;Derrimut;VIC;3030;Government;Primary;School Single Entity;Individual Reporting;0;;1;70;1;61;1;85;1;77;1;86;1;91;1;104;0;;0;;0;;0;;0;;0;;0;;0;;574
2025;45267;66760;26760;Epping Views Primary School;Epping;VIC;3076;Government;Primary;School Single Entity;Individual Reporting;0;;1;69;1;69;1;80;1;100;1;129;1;100;1;137;0;;0;;0;;0;;0;;0;;0;;0;;684
2025;45268;54858;14858;Yuille Park Community College;Wendouree;VIC;3355;Government;Combined;School Head Campus;Rolled Reporting;0;;1;28;1;19;1;16;1;17;1;18;1;13;1;16;1;9;1;11;1;15;1;14;1;11;1;22;0;;0;;209
2025;45269;48083;8083;Reservoir Views Primary School;Reservoir;VIC;3073;Government;Primary;School Single Entity;Individual Reporting;0;;1;52;1;31;1;49;1;46;1;38;1;38;1;34;0;;0;;0;;0;;0;;0;;0;;0;;288
2025;45272;69161;29161;Whitehorse Primary School;Blackburn North;VIC;3130;Government;Primary;School Single Entity;Individual Reporting;0;;1;27;1;38;1;50;1;46;1;45;1;32;1;64;0;;0;;0;;0;;0;;0;;0;;0;;302
2025;45273;28809;28808;Golden Square Primary School;Golden Square;VIC;3555;Government;Primary;School Head Campus;Individual Reporting;0;;1;27;1;40;1;42;1;28;1;42;1;41;1;42;0;;0;;0;;0;;0;;0;;0;;0;;262
2025;45275;69160;29160;Lalor Gardens Primary School;Lalor;VIC;3075;Government;Primary;School Single Entity;Individual Reporting;0;;1;56;1;57;1;60;1;52;1;57;1;65;1;61;0;;0;;0;;0;;0;;0;;0;;0;;408
2025;45276;68796;28796;Chandler Park Primary School;Keysborough;VIC;3173;Government;Primary;School Head Campus;Individual Reporting;0;;1;47;1;53;1;64;1;63;1;65;1;64;1;63;0;;0;;0;;0;;0;;0;;0;;0;;419
2025;45278;68840;28840;Keysborough Primary School;Springvale South;VIC;3172;Government;Primary;School Single Entity;Individual Reporting;0;;1;47;1;60;1;60;1;49;1;50;1;57;1;59;0;;0;;0;;0;;0;;0;;0;;0;;382
2025;45280;68835;28835;Lyndale Greens Primary School;Dandenong North;VIC;3175;Government;Primary;School Single Entity;Individual Reporting;0;;1;52;1;70;1;59;1;57;1;63;1;72;1;73;0;;0;;0;;0;;0;;0;;0;;0;;446
2025;45281;68792;28792;Athol Road Primary School;Springvale South;VIC;3172;Government;Primary;School Head Campus;Individual Reporting;0;;1;58;1;57;1;47;1;55;1;63;1;62;1;60;0;;0;;0;;0;;0;;0;;0;;0;;402
2025;45283;68837;28837;Springvale Rise Primary School;Springvale;VIC;3171;Government;Primary;School Head Campus;Rolled Reporting;0;;1;55;1;49;1;76;1;67;1;62;1;60;1;82;0;;0;;0;;0;;0;;0;;0;;0;;451
2025;45285;68843;28843;Spring Parks Primary School;Springvale;VIC;3171;Government;Primary;School Head Campus;Rolled Reporting;0;;1;33;1;35;1;34;1;34;1;44;1;38;1;45;0;;0;;0;;0;;0;;0;;0;;0;;263
2025;45287;68806;28806;Keilor Views Primary School;Keilor Downs;VIC;3038;Government;Primary;School Single Entity;Individual Reporting;0;;1;54;1;56;1;50;1;45;1;73;1;56;1;62;0;;0;;0;;0;;0;;0;;0;;0;;396
2025;45289;68831;28831;William Ruthven Primary School;Reservoir;VIC;3073;Government;Primary;School Single Entity;Individual Reporting;0;;1;13;1;18;1;22;1;24;1;17;1;24;1;22;0;;0;;0;;0;;0;;0;;0;;0;;140
2025;45291;49689;9689;Alvie Primary School;Alvie;VIC;3249;Government;Primary;School Single Entity;Individual Reporting;0;;1;11;1;9;1;13;1;9;1;17;1;13;1;6;0;;0;;0;;0;;0;;0;;0;;0;;78
2025;45292;49607;9607;Apollo Bay P-12 College;Apollo Bay;VIC;3233;Government;Combined;School Single Entity;Individual Reporting;0;;1;25;1;21;1;25;1;25;1;30;1;25;1;29;1;32;1;21;1;30;1;26;1;29;1;22;0;;0;;340
2025;45293;55510;15510;Boisdale Consolidated School;Boisdale;VIC;3860;Government;Primary;School Single Entity;Individual Reporting;0;;1;24;1;27;1;27;1;23;1;29;1;31;1;26;0;;0;;0;;0;;0;;0;;0;;0;;187
2025;45294;51497;11497;Cobram Primary School;Cobram;VIC;3644;Government;Primary;School Single Entity;Individual Reporting;0;;1;35;1;29;1;38;1;34;1;41;1;42;1;49;0;;0;;0;;0;;0;;0;;0;;0;;268
2025;45295;51386;11386;Cohuna Consolidated School;Cohuna;VIC;3568;Government;Primary;School Single Entity;Individual Reporting;0;;1;26;1;17;1;21;1;19;1;27;1;27;1;19;0;;0;;0;;0;;0;;0;;0;;0;;156
